219,Gt,StlFxDdHmr
220,Gt,StlDdMtHmr
221,Gt,HiStr S St
222,Gt,HiStr S L
223,Gt,HiStr S R
224,Gt,HiStr H St
225,Gt,HiStr H L
226,Gt,HiStr H R
227,Gt,HiStrFXSt
228,Gt,HiStrFX L
229,Gt,HiStrFX R
230,Gt,HiStr FX2
231,Gt,ClnOpenM
232,Gt,ClnOpenH
233,Gt,ClnHmmr
234,Gt,ClnSlap
235,Gt,ClnSlide
236,Gt,ClnHarmo
237,Gt,ClnMute
238,Gt,ClnDead
239,Gt,ClnFX
240,Gt,ClnSwSlpFX
241,Gt,ClnHmrHrm
242,Gt,ClnMutDed
243,Gt,ClnFxSdHrm
244,Gt,ClFxSwSlHm
245,Gt,ClnFxSwHmr
246,Gt,ClnFxMtHmr
247,Gt,ClnFxDdHmr
248,Gt,ClnDdMtHmr
249,Gt,Jazz Gtr
250,Gt,VintAmpA
251,Gt,VintAmpB
252,Gt,Front
253,Gt,HmBckrM
254,Gt,HmBckrH
255,Gt,Dist Open
256,Gt,Dist Harmo
257,Gt,Dist Mute
258,Gt,Ovrdrv Opn
259,Gt,Ovrdrv Mut
260,Gt,Dist FX
261,Gt,Dist/OvrFX
262,Gt,FeedBack
263,Gt,PwrChrdSt
264,Gt,PwrChdMono
265,Gt,PlayFx Mix
266,Gt,PChdSt&Fx
267,Gt,PChd&Fx
268,Gt,Banjo
269,Ba,Aco M
270,Ba,Aco H
271,Ba,Aco Harmo
272,Ba,Aco Dead
273,Ba,Aco FX
274,Ba,Aco FX2
275,Ba,Aco Ded FX
276,Ba,Aco Sw
277,Ba,Aco M+
278,Ba,Aco H+
279,Ba,Aco M-
280,Ba,Aco H-
281,Ba,PickOpen
282,Ba,PickHarm
283,Ba,PickMute
284,Ba,PickDead
285,Ba,Pick FX
286,Ba,Pick Mt FX
287,Ba,Pick Dd FX
288,Ba,Pick+
289,Ba,Pick Mt+
290,Ba,Pick-
291,Ba,Pick Mt-
292,Ba,PickFxHrm
293,Ba,PickFxOpn
294,Ba,PickFxMute
295,Ba,PickFxDead
296,Ba,PickOpHarm
297,Ba,Fing M
298,Ba,Fing H
299,Ba,FingHarmo
300,Ba,Fng-Ded-FX
301,Ba,Fing Sw
302,Ba,Fing M+
303,Ba,Fing H+
304,Ba,Fing M-
305,Ba,Fing H-
306,Ba,Fing Dead
307,Ba,PrecRW M
308,Ba,PrecRW H
309,Ba,PrecRW M+
310,Ba,PrecRW H+
311,Ba,PrecRW M-
312,Ba,PrecRW H-
313,Ba,PrecFW
314,Ba,PrecFW+
315,Ba,PrecFW-
316,Ba,Slap
317,Ba,Slap2
318,Ba,SlapHarmo
319,Ba,Frtls
320,Ba,Frtls Hrm
321,Ba,Frtls-DdFX
322,Ba,Frtls+
323,Ba,Frtls-
324,Ba,Frtls Dead
325,Ba,EBassFX
326,St,ViolnStrt
327,St,ViolnStrt+
328,St,ViolnStrt-
329,St,ViolinVb
330,St,ViolinVb+
331,St,ViolinVb-
332,St,ViolinVb2
333,St,ViolinVb2+
334,St,ViolinVb2-
335,St,ViolaVb
336,St,ViolaVb+
337,St,ViolaVb-
338,St,ViolaVb2
339,St,ViolaVb2+
340,St,ViolaVb2-
341,St,CelloVb
342,St,CelloVb+
343,St,CelloVb-
344,St,CelloVb2
345,St,CelloVb2+
346,St,CelloVb2-
347,St,Contrabass
348,St,Contrabas+
349,St,Contrabas-
350,St,SoloVbCmb
351,St,SoloVbCmb+
352,St,SoloVbCmb-
353,St,SoloVbCmb2
354,St,SoloVbCm2+
355,St,SoloVbCm2-
356,St,SoloSpcCmb
357,St,SoloSpCmb+
358,St,SoloSpCmb-
359,St,Pizz1 St
360,St,Pizz1 Mn
361,St,Pizz2
362,St,Pizz3
363,St,PopPizz
364,St,EnsMix
365,St,EnsMixSt
366,St,EnsMixL
367,St,EnsMixR
368,St,EnsMute
369,St,EnsMute-
370,St,EnsMuteSt
371,St,HardEnsSt
372,St,HardEnsSt+
373,St,HardEnsSt-
374,St,HardEnsL
375,St,HardEnsL+
376,St,HardEnsL-
377,St,HardEnsR
378,St,HardEnsR+
379,St,HardEnsR-
380,St,EnsMxLPSt
381,St,EnsMxLP L
382,St,EnsMxLP R
383,St,EnsMuteLP
384,St,EnsMuteLP-
385,St,EnsMutLPSt
386,St,HrdEnsLPSt
387,St,HrdEnsLP L
388,St,HrdEnsLP R
389,St,Harp
390,Br,BrsSctSt
391,Br,BrsSctSt+
392,Br,BrsSctSt-
393,Br,BrsSctL
394,Br,BrsSctL+
395,Br,BrsSctL-
396,Br,BrsSctR
397,Br,BrsSctR+
398,Br,BrsSctR-
399,Br,BrassFall
400,Br,Trumpet1
401,Br,Trumpet2M
402,Br,Trumpet2H
403,Br,TrmptMute
404,Br,PicolTrmpt
405,Br,Trombone
406,Br,Trombone-
407,Br,Trombone2
408,Br,SoftTrb
409,Br,SoftFlugel
410,Br,SoftFlugl-
411,Br,FlugelHorn
412,Br,FrncHrn St
413,Br,FrncHrn L
414,Br,FrncHrn R
415,Br,FrncHrnSt+
416,Br,FrncHrn L+
417,Br,FrncHrn R+
418,Br,FrncHrnSt-
419,Br,FrncHrn L-
420,Br,FrncHrn R-
421,Br,FrncHrSol
422,Br,FrncHrSol+
423,Br,FrncHrSol-
424,Br,Tuba
425,Rd,Soprano
426,Rd,Soprano2
427,Rd,Alto
428,Rd,Alto2
429,Rd,AltoSaxVb
430,Rd,Tenor
431,Rd,Tenor2
432,Rd,Baritone
433,Rd,Clarinet
434,Rd,Clarinet2
435,Rd,Oboe
436,Rd,OboeVb
437,Rd,EngHorn1
438,Rd,EngHorn2
439,Rd,Bassoon1
440,Rd,Bassoon2
441,Rd,Bagpipe1
442,Rd,Bagpipe2
443,Rd,SaxBreath
444,Rd,Harmonica
445,Rd,ChrmtcHarp
446,Rd,BluesHarp
447,Pi,Flute
448,Pi,FluteVb
449,Pi,FluteVbAtk
450,Pi,Piccolo
451,Pi,PanFlute
452,Pi,PanFlute-
453,Pi,IrishPipe
454,Pi,Shakuhachi
455,Pi,Recorder
456,Pi,Bottle
457,Pi,Ocarina
458,Pi,Whistle
459,Pi,BreathO.S.
460,Pi,Didgerido1
461,Pi,Didgerido2
462,Pi,Didgerido3
463,Pi,DidgCmb1
464,Pi,DidgCmb2
465,Pi,Sho
466,Pi,Shanai
467,Pi,Ney
468,Pi,Kaval
469,St,Keman
470,Gt,Sitar
471,Gt,SitarWv1
472,Gt,SitarWv2
473,Gt,SitarWv3
474,Gt,SitarWv4
475,Gt,SitarWv5
476,Gt,SitarWv6
477,Gt,Tambura
478,Gt,TamburaWv1
479,Gt,TamburaWv2
480,Gt,TamburaWv3
481,Gt,Santur
482,Gt,Ud
483,Gt,Kanun
484,Gt,Baglama
485,Gt,Bouzouk
486,Gt,Shamisen
487,Gt,Koto
488,Cp,Kalimba
489,Cp,Gamelan1
490,Cp,Gamelan2
491,Cp,SteelDrum
492,Pc,Log1
493,Pc,Log2
494,Pc,Wataiko
495,Pc,DjembeEd
496,Pc,DjembeMt
497,Pc,DjembeOp
498,Pc,DjembeCmb
499,Pc,TablaBya
500,Pc,TablaNah
501,Pc,TablaMut
502,Pc,TablaCmb
503,Pc,SmlTablDom
504,Pc,SmlTablSnp
505,Pc,SmlTablSak
506,Pc,SmlTablTak
507,Pc,BigTablDom
508,Pc,BigTablTak
509,Pc,BigTablSak
510,Pc,TablaDom
511,Pc,TablaTak1
512,Pc,TablaTak2
513,Pc,TablaTik1
514,Pc,TablaTik2
515,Pc,TablaTik3
516,Pc,TablaSak1
517,Pc,TablaTrem
518,Pc,UdoFinger
519,Pc,Udo Hi
520,Pc,Udo Low
521,Pc,UduCombi
522,Pc,Dohol L
523,Pc,Dohol H
524,Pc,BarasimDom
525,Pc,BarasimSak
526,Pc,BarasimTak
527,Pc,Segal Dom
528,Pc,Segal Tak
529,Pc,Twaisat
530,Pc,Twaisat2
531,Pc,Twaisat3
532,Pc,Twaisat4
533,Pc,LamaCym
