PRE1,107,G11,Reedy Pipe,Or,PIPE
PRE1,108,G12,Medieval,Or,PIPE
PRE1,109,G13,Prelude,Or,PIPE
PRE1,110,G14,Ooh Pipes,Or,PIPE
PRE1,111,G15,Green Tea,Or,ELEC.
PRE1,112,G16,Bass Walk,Or,ELEC.
PRE1,113,H01,Amped,Or,ELEC.
PRE1,114,H02,Vintage C,Or,ELEC.
PRE1,115,H03,Dave's B,Or,ELEC.
PRE1,116,H04,2ndPerc,Or,ELEC.
PRE1,117,H05,16+8+5&1/3,Or,ELEC.
PRE1,118,H06,Jazzy 1,Or,ELEC.
PRE1,119,H07,Jazzy 2,Or,ELEC.
PRE1,120,H08,Glassy,Or,ELEC.
PRE1,121,H09,Slow Jam,Or,ELEC.
PRE1,122,H10,Greasy,Or,ELEC.
PRE1,123,H11,Swishie,Or,ELEC.
PRE1,124,H12,Full/CVib,Or,ELEC.
PRE1,125,H13,Mellow,Or,ELEC.
PRE1,126,H14,Nu Shade,Or,ELEC.
PRE1,127,H15,Cool Cat,Or,ELEC.
PRE1,128,H16,Flutey,Or,ELEC.
PRE2,1,A01,LeftManual,Or,ELEC.
PRE2,2,A02,DrawContrl,Or,ELEC.
PRE2,3,A03,GosplSplit,Or,ELEC.
PRE2,4,A04,Soulemn,Or,ELEC.
PRE2,5,A05,Fully,Or,ELEC.
PRE2,6,A06,Progressy,Or,ELEC.
PRE2,7,A07,Crunchy,Or,ELEC.
PRE2,8,A08,Rocky,Or,ELEC.
PRE2,9,A09,DistFull,Or,ELEC.
PRE2,10,A10,Early Bird,Or,ELEC.
PRE2,11,A11,AnaDrwbr,Or,ELEC.
PRE2,12,A12,Tiny,Or,ELEC.
PRE2,13,A13,Paddy,Or,ELEC.
PRE2,14,A14,Mellow Org,Or,ELEC.
PRE2,15,A15,ResoDrbrs,Or,ELEC.
PRE2,16,A16,OrgPad,Or,OTHER
PRE2,17,B01,Panther,Or,ELEC.
PRE2,18,B02,SawCombo,Or,OTHER
PRE2,19,B03,1967 Keys,Or,ELEC.
PRE2,20,B04,YD-45C,Or,ELEC.
